Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status,Length of Stay (Days),Booking Window (Days),Reservation ID,Listing ID,Unit ID,PMS,BR Count,City,Sync Price,Año,Mes_num,Mes,tipo_estadia,prev_booked,days_since_last,flag_last_minute,flag_orphan,flag_recency,flag_discount,ADR_ideal,Revenue_ideal,Revenue_perdido,Temporada,tipo
Casa VIP Medellín 2 - Private Room,2025-03-21,2025-03-26,2025-03-18,23.4,117.0,127.0,USD,Airbnb,Booked,5,3,HM2SZY5EAB,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,3,2025-03,Media 4-7,2025-03-15,3.0,True,True,False,True,33.42857142857143,167.14285714285717,40.14285714285717,Semana Santa,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2025-04-07,2025-04-14,2025-04-06,17.97,125.8,135.8,USD,Airbnb,Booked,7,1,HM8HQZJ4CA,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,4,2025-04,Media 4-7,2025-03-18,19.0,True,True,False,True,25.67142857142857,179.7,43.89999999999998,Semana Santa,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2025-04-14,2025-04-19,2025-04-13,20.2,101.0,111.0,USD,Airbnb,Booked,5,1,HMEEQNAS9T,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,4,2025-04,Media 4-7,2025-04-06,7.0,True,True,False,True,28.857142857142858,144.28571428571428,33.28571428571428,Semana Santa,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2025-04-21,2025-05-05,2025-04-18,16.25,227.5,237.5,USD,Airbnb,Booked,14,3,HMR5MFBEZE,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,4,2025-04,Quincenal 8-14,2025-04-13,5.0,True,False,False,True,23.214285714285715,325.0,87.5,Semana Santa,Media (8-14n)
Casa VIP Medellín 2 - Private Room,2025-05-12,2025-05-16,2025-05-11,19.0,76.0,86.0,USD,Airbnb,Booked,4,1,HMPBC39FD5,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,5,2025-05,Media 4-7,2025-04-18,23.0,True,True,False,True,27.142857142857146,108.57142857142858,22.571428571428584,Temporada baja,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2025-05-18,2025-05-23,2025-05-16,20.2,101.0,111.0,USD,Airbnb,Booked,5,2,HMJ3PX4P8R,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,5,2025-05,Media 4-7,2025-05-11,5.0,True,True,False,True,28.857142857142858,144.28571428571428,33.28571428571428,Temporada baja,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2025-05-23,2025-05-25,2025-05-23,18.0,36.0,46.0,USD,Airbnb,Booked,2,0,HM5X4HE43C,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,5,2025-05,Corta 1-3,2025-05-16,7.0,True,True,False,True,25.714285714285715,51.42857142857143,5.428571428571431,Temporada baja,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2025-05-31,2025-06-15,2025-05-30,15.73,236.0,246.0,USD,Airbnb,Booked,15,1,HMX8TDEY4E,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,5,2025-05,Mensual 15-30,2025-05-23,7.0,True,False,False,True,22.471428571428575,337.0714285714286,91.07142857142861,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2025-06-18,2025-06-30,2025-06-16,19.97,239.7,249.7,USD,Airbnb,Booked,12,2,HM2TCFJX8T,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,6,2025-06,Quincenal 8-14,2025-05-30,17.0,True,False,False,True,28.52857142857143,342.34285714285716,92.64285714285717,Vacaciones Jun-Jul,Media (8-14n)
Casa VIP Medellín 1 - Private Room + Bathroom,2023-08-16,2023-09-13,2023-08-02,14.77,413.5,423.5,USD,Airbnb,Booked,28,14,HMDNTB3XHY,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2023,8,2023-08,Mensual 15-30,,,True,False,False,True,21.1,590.8000000000001,167.30000000000007,Temporada baja,Larga (15+n)
Casa VIP Medellín 1 - Private Room + Bathroom,2024-03-16,2024-05-16,2024-03-14,11.51,702.0,712.0,USD,Airbnb,Booked,61,2,HMC3TJJH55,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2024,3,2024-03,Larga 31+,2023-08-02,225.0,True,False,True,True,16.442857142857143,1003.0142857142857,291.01428571428573,Semana Santa,Larga (15+n)
Casa VIP Medellín 1 - Private Room + Bathroom,2024-05-26,2024-06-27,2024-05-21,12.66,405.0,415.0,USD,Airbnb,Booked,32,5,HMMYCRAZ2J,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2024,5,2024-05,Larga 31+,2024-03-14,68.0,True,False,True,True,18.085714285714285,578.7428571428571,163.74285714285713,Temporada baja,Larga (15+n)
Casa VIP Medellín 1 - Private Room + Bathroom,2024-07-23,2024-07-31,2024-07-23,16.26,130.05,140.05,USD,Airbnb,Booked,8,0,HMJTZQ8KD3,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2024,7,2024-07,Quincenal 8-14,2024-05-21,63.0,True,True,True,True,23.22857142857143,185.82857142857145,45.77857142857144,Vacaciones Jun-Jul,Media (8-14n)
Casa VIP Medellín 1 - Private Room + Bathroom,2024-08-01,2024-09-03,2024-07-24,13.82,456.0,466.0,USD,Airbnb,Booked,33,8,HMXKDSP2WK,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2024,8,2024-08,Larga 31+,2024-07-23,1.0,True,False,False,True,19.742857142857144,651.5142857142857,185.51428571428573,Temporada baja,Larga (15+n)
Casa VIP Medellín 1 - Private Room + Bathroom,2024-09-24,2024-12-10,2024-08-30,14.91,1148.0,1158.0,USD,Airbnb,Booked,77,25,HMYEMXKNBC,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2024,9,2024-09,Larga 31+,2024-07-24,37.0,False,False,True,True,16.566666666666666,1275.6333333333332,117.63333333333321,Temporada baja,Larga (15+n)
Casa VIP Medellín 1 - Private Room + Bathroom,2024-09-08,2024-09-26,2024-09-01,16.99,305.9,315.9,USD,Airbnb,Booked,18,7,HM2X4ASF4A,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2024,9,2024-09,Mensual 15-30,2024-08-30,2.0,True,False,False,True,24.271428571428572,436.8857142857143,120.98571428571432,Temporada baja,Larga (15+n)
Casa VIP Medellín 1 - Private Room + Bathroom,2024-12-26,2025-01-02,2024-12-24,25.5,178.5,188.5,USD,Airbnb,Booked,7,2,HMRH4DR5M9,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2024,12,2024-12,Media 4-7,2024-09-01,114.0,True,True,True,True,36.42857142857143,255.0,66.5,Navidad/Año Nuevo,Corta (1-7n)
Casa VIP Medellín 1 - Private Room + Bathroom,2025-01-06,2025-02-05,2024-12-31,14.68,440.5,450.5,USD,Airbnb,Booked,30,6,HMNNJYPH3W,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2025,1,2025-01,Mensual 15-30,2024-12-24,7.0,True,False,False,True,20.97142857142857,629.1428571428571,178.6428571428571,Navidad/Año Nuevo,Larga (15+n)
Casa VIP Medellín 1 - Private Room + Bathroom,2025-02-15,2025-03-15,2025-02-12,13.41,375.5,385.5,USD,Airbnb,Booked,28,3,HMNBM2TZT8,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,1,Medellín,Off,2025,2,2025-02,Mensual 15-30,2024-12-31,43.0,True,False,True,True,19.15714285714286,536.4000000000001,150.9000000000001,Temporada baja,Larga (15+n)
