Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status,Length of Stay (Days),Booking Window (Days),Reservation ID,Listing ID,Unit ID,PMS,Property Name,BR Count,Group,Sub-Group,Tags,City,Sync Price
Casa VIP Medellín 2 - Private Room,04 ene 2025,08 ene 2025,05 ene 2025,$ 22.25,$ 89.00,$ 99.00,USD,Airbnb,Booked,4,-1,HMTHPRWDZD,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,03 ene 2025,10 ene 2025,03 ene 2025,$ 20.04,$ 140.25,$ 150.25,USD,Airbnb,Booked,7,0,HMS2SZ3SBJ,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,19 mar 2025,23 abr 2025,02 ene 2025,$ 88.77,"$ 3,107.00","$ 3,157.00",USD,Airbnb,Booked,35,76,HMB85S22HW,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 1 - Private Room + Bathroom,06 ene 2025,05 feb 2025,31 dic 2024,$ 14.68,$ 440.50,$ 450.50,USD,Airbnb,Booked,30,6,HMNNJYPH3W,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,20 ene 2025,26 ene 2025,30 dic 2024,$ 28.83,$ 173.00,$ 183.00,USD,Airbnb,Booked,6,21,HMKMZT8F3Y,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,12 ene 2025,03 feb 2025,29 dic 2024,$ 51.35,"$ 1,129.80","$ 1,154.80",USD,Airbnb,Booked,22,14,HMDQXKCX3J,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 1 - Private Room + Bathroom,26 dic 2024,02 ene 2025,24 dic 2024,$ 25.50,$ 178.50,$ 188.50,USD,Airbnb,Booked,7,2,HMRH4DR5M9,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,20 dic 2024,03 ene 2025,19 dic 2024,$ 20.05,$ 280.70,$ 290.70,USD,Airbnb,Booked,14,1,HMYEDAMDAB,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,18 dic 2024,01 ene 2025,15 dic 2024,$ 20.25,$ 283.50,$ 293.50,USD,Airbnb,Booked,14,3,HM5B3P94BR,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,18 dic 2024,05 ene 2025,13 dic 2024,$ 58.58,"$ 1,054.40","$ 1,079.40",USD,Airbnb,Booked,18,5,HMWDH9TT3X,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
